geneid,entrezid,genesymbol,mouseortholog,genedescription,uniprotid,mitopathway,mitocartascore,targetpscore,hg19chr,inmitocarta,subcellularlocation,Loc
96231,1537,CYC1,66445.0,cytochrome c1,P08574,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits,43.6442,2.0,chr8,True,Mitochondrion inner membrane,MIM
96232,6390,SDHB,67680.0,succinate dehydrogenase complex iron sulfur subunit B,P21912,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,43.2272,1.0,chr1,True,Mitochondrion inner membrane,MIM
96233,10229,COQ7,12850.0,"coenzyme Q7, hydroxylase",Q99807,Metabolism > Metals and cofactors > Coenzyme Q metabolism,43.1028,1.0,chr16,True,Mitochondrion inner membrane,MIM
96234,6389,SDHA,66945.0,succinate dehydrogenase complex flavoprotein subunit A,P31040,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits,42.9701,1.0,chr5,True,Mitochondrion inner membrane,MIM
96235,7384,UQCRC1,22273.0,ubiquinol-cytochrome c reductase core protein 1,P31930,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits",42.9037,1.0,chr3,True,Mitochondrion inner membrane,MIM
96236,84274,COQ5,52064.0,"coenzyme Q5, methyltransferase",Q5HYK3,Metabolism > Metals and cofactors > Coenzyme Q metabolism,42.6477,2.0,chr12,True,Mitochondrion inner membrane,MIM
96237,5160,PDHA1,18597.0,pyruvate dehydrogenase E1 subunit alpha 1,P08559,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,42.5705,1.0,chrX,True,Mitochondrion matrix,NUC
96238,57017,COQ9,67914.0,coenzyme Q9,O75208,Metabolism > Metals and cofactors > Coenzyme Q metabolism,42.301,1.0,chr16,True,Mitochondrion,NUC
96239,6182,MRPL12,56282.0,mitochondrial ribosomal protein L12,P52815,Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation > Mitochondrial ribosome,42.0393,1.0,chr17,True,Mitochondrion matrix,NUC
96240,513,ATP5F1D,66043.0,ATP synthase F1 subunit delta,P30049,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,42.0165,2.0,chr19,True,Mitochondrion,NUC
96241,9377,COX5A,12858.0,cytochrome c oxidase subunit 5A,P20674,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,41.9796,1.0,chr15,True,Mitochondrion inner membrane,MIM
96242,122961,ISCA2,74316.0,iron-sulfur cluster assembly 2,Q86U28,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,41.9677,1.0,chr14,True,Mitochondrion,NUC
96243,9512,PMPCB,73078.0,"peptidase, mitochondrial processing subunit beta",O75439,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",41.6397,1.0,chr7,True,Mitochondrion matrix,NUC
96244,7386,UQCRFS1,66694.0,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",P47985,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,40.7667,2.0,chr19,True,Mitochondrion inner membrane,MIM
96245,498,ATP5F1A,11946.0,ATP synthase F1 subunit alpha,P25705,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,40.7095,1.0,chr18,True,Mitochondrion,NUC
96246,4967,OGDH,18293.0,oxoglutarate dehydrogenase,Q02218,Metabolism > Carbohydrate metabolism > TCA cycle,40.5677,2.0,chr7,True,Mitochondrion,NUC
96247,5162,PDHB,68263.0,pyruvate dehydrogenase E1 subunit beta,P11177,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,40.5677,2.0,chr3,True,Mitochondrion matrix,NUC
96248,7385,UQCRC2,67003.0,ubiquinol-cytochrome c reductase core protein 2,P22695,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits",40.5677,2.0,chr16,True,Mitochondrion inner membrane,MIM
96249,6392,SDHD,66925.0,succinate dehydrogenase complex subunit D,O14521,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,40.1392,3.0,chr11,True,Mitochondrion inner membrane,MIM
96250,60488,MRPS35,232536.0,mitochondrial ribosomal protein S35,P82673,Mitochondrial central dogma > Translation > Mitochondrial ribosome,39.6435,2.0,chr12,True,Mitochondrion,NUC
96251,27089,UQCRQ,22272.0,ubiquinol-cytochrome c reductase complex III subunit VII,O14949,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,39.3103,2.0,chr5,True,Mitochondrion inner membrane,MIM
96252,116540,MRPL53,68499.0,mitochondrial ribosomal protein L53,Q96EL3,Mitochondrial central dogma > Translation > Mitochondrial ribosome,39.3103,2.0,chr2,True,Mitochondrion,NUC
96253,1629,DBT,13171.0,dihydrolipoamide branched chain transacylase E2,P11182,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,39.2448,1.0,chr1,True,Mitochondrion matrix,NUC
96254,5166,PDK4,27273.0,pyruvate dehydrogenase kinase 4,Q16654,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,38.7139,2.0,chr7,True,Mitochondrion matrix,NUC
96255,4191,MDH2,17448.0,malate dehydrogenase 2,P40926,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA cycle,38.3734,2.0,chr7,True,Mitochondrion matrix,NUC
96256,23107,MRPS27,218506.0,mitochondrial ribosomal protein S27,Q92552,Mitochondrial central dogma > Translation > Mitochondrial ribosome,38.3207,1.0,chr5,True,Cytoplasm,NUC
